position,salary,fppg,value,team,opponent,floor,proj,cieling,proj value,site,spread,opp pa yds all,opp pa yds all/game,opp pa tds all,opp pa tds all/game,opp ru yds all,opp ru yds all/game,opp ru tds all,opp ru tds all/game,game info
Aaron Rodgers,8000,22.66,2.83,GB,KC,18.8,20.8,24.5,2.6,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Ben Roethlisberger,7300,27.85,3.82,PIT,BAL,16.8,17.7,22.0,2.42,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Joe Flacco,6000,14.12,2.35,BAL,PIT,14.0,15.1,20.5,2.52,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Alex Smith,6000,15.18,2.53,KC,GB,13.0,14.5,18.3,2.42,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Michael Vick,5000,-0.3,-0.06,PIT,BAL,0.0,0.3,0.6,0.06,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Matt Schaub,5000,0.0,0.0,BAL,PIT,0.0,0.2,0.4,0.04,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Chase Daniel,5000,0.0,0.0,KC,GB,0.0,0.3,0.7,0.06,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Scott Tolzien,5000,0.0,0.0,GB,KC,0.0,0.3,0.8,0.06,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Landry Jones,5000,0.0,0.0,PIT,BAL,0.0,0.0,0.0,0.0,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Aaron Murray,5000,0.0,0.0,KC,GB,0.0,0.0,0.0,0.0,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Brett Hundley,5000,0.0,0.0,GB,KC,0.0,0.0,0.0,0.0,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
