position,salary,fppg,value,team,opponent,floor,proj,cieling,proj value,site,spread,opp pa yds all,opp pa yds all/game,opp pa tds all,opp pa tds all/game,opp ru yds all,opp ru yds all/game,opp ru tds all,opp ru tds all/game,game info
Travis Kelce,5000,20.7,4.14,KC,GB,6.5,7.7,13.7,1.54,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Heath Miller,3700,13.95,3.77,PIT,BAL,5.6,7.2,10.5,1.95,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Crockett Gillmore,3500,15.05,4.3,BAL,PIT,4.2,6.5,10.0,1.86,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Matt Spaeth,2500,0.0,0.0,PIT,BAL,0.1,1.0,2.7,0.4,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Andrew Quarless,2500,0.0,0.0,GB,KC,0.5,1.9,2.3,0.76,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
James Winchester,2500,0.0,0.0,KC,GB,,,,,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
James O'Shaughnessy,2500,3.7,1.48,KC,GB,0.5,1.4,1.4,0.56,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Brian Parker,2500,0.0,0.0,KC,GB,0.0,0.0,0.0,0.0,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Demetrius Harris,2500,0.0,0.0,KC,GB,0.9,0.5,0.9,0.2,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Richard Rodgers,2500,10.05,4.02,GB,KC,3.0,4.2,7.3,1.68,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Nick Boyle,2500,0.0,0.0,BAL,PIT,0.1,0.2,0.4,0.08,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Kennard Backman,2500,0.0,0.0,GB,KC,0.0,0.0,0.0,0.0,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Maxx Williams,2500,2.15,0.86,BAL,PIT,1.5,1.8,2.6,0.72,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Jesse James,2500,0.0,0.0,PIT,BAL,0.0,0.1,0.0,0.04,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
