position,salary,fppg,value,team,opponent,floor,proj,cieling,proj value,site,spread,opp pa yds all,opp pa yds all/game,opp pa tds all,opp pa tds all/game,opp ru yds all,opp ru yds all/game,opp ru tds all,opp ru tds all/game,game info
Le'Veon Bell,7700,0.0,0.0,PIT,BAL,13.9,16.1,20.2,2.09,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Jamaal Charles,7400,22.5,3.04,KC,GB,13.0,15.1,18.6,2.04,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Eddie Lacy,7200,9.4,1.31,GB,KC,3.0,10.2,12.4,1.42,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Justin Forsett,6000,10.8,1.8,BAL,PIT,9.0,10.5,15.6,1.75,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
DeAngelo Williams,4600,24.2,5.26,PIT,BAL,2.6,3.8,4.9,0.83,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
John Kuhn,3000,0.0,0.0,GB,KC,0.9,1.9,1.4,0.63,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
James Starks,3000,6.9,2.3,GB,KC,4.1,8.6,14.5,2.87,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Anthony Sherman,3000,0.5,0.17,KC,GB,0.2,1.0,1.5,0.33,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Will Johnson,3000,3.35,1.12,PIT,BAL,0.2,0.9,0.8,0.3,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Jordan Todman,3000,0.55,0.18,PIT,BAL,0.5,0.3,0.5,0.1,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Knile Davis,3000,5.35,1.78,KC,GB,2.4,4.3,5.2,1.43,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Kyle Juszczyk,3000,3.9,1.3,BAL,PIT,0.3,0.9,2.3,0.3,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Roosevelt Nix,3000,0.0,0.0,PIT,BAL,0.0,0.0,0.0,0.0,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Javorius Allen,3000,3.05,1.02,BAL,PIT,0.3,1.9,3.3,0.63,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Alonzo Harris,3000,0.0,0.0,GB,KC,1.8,1.4,1.8,0.47,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Aaron Ripkowski,3000,0.0,0.0,GB,KC,0.0,0.0,0.0,0.0,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Lorenzo Taliaferro,3000,13.6,4.53,BAL,PIT,3.0,4.8,7.5,1.6,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
Charcandrick West,3000,0.0,0.0,KC,GB,0.2,0.1,0.2,0.03,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
