"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9200,"Bal@Pit 08:25PM ET",35.400,"Pit"
"QB","Aaron Rodgers",8000,"KC@GB 08:30PM ET",22.660,"GB"
"RB","Le'Veon Bell",7700,"Bal@Pit 08:25PM ET",0,"Pit"
"RB","Jamaal Charles",7400,"KC@GB 08:30PM ET",22.500,"KC"
"QB","Ben Roethlisberger",7300,"Bal@Pit 08:25PM ET",27.850,"Pit"
"WR","Randall Cobb",7300,"KC@GB 08:30PM ET",18.700,"GB"
"RB","Eddie Lacy",7200,"KC@GB 08:30PM ET",9.400,"GB"
"WR","Steve Smith Sr.",6200,"Bal@Pit 08:25PM ET",15.650,"Bal"
"QB","Joe Flacco",6000,"Bal@Pit 08:25PM ET",14.120,"Bal"
"QB","Alex Smith",6000,"KC@GB 08:30PM ET",15.180,"KC"
"RB","Justin Forsett",6000,"Bal@Pit 08:25PM ET",10.800,"Bal"
"WR","Jeremy Maclin",6000,"KC@GB 08:30PM ET",9.850,"KC"
"QB","Michael Vick",5000,"Bal@Pit 08:25PM ET",-0.300,"Pit"
"QB","Matt Schaub",5000,"Bal@Pit 08:25PM ET",0,"Bal"
"QB","Chase Daniel",5000,"KC@GB 08:30PM ET",0,"KC"
"QB","Scott Tolzien",5000,"KC@GB 08:30PM ET",0,"GB"
"QB","Landry Jones",5000,"Bal@Pit 08:25PM ET",0,"Pit"
"TE","Travis Kelce",5000,"KC@GB 08:30PM ET",20.700,"KC"
"QB","Aaron Murray",5000,"KC@GB 08:30PM ET",0,"KC"
"QB","Brett Hundley",5000,"KC@GB 08:30PM ET",0,"GB"
"WR","Davante Adams",5000,"KC@GB 08:30PM ET",9.100,"GB"
"WR","James Jones",4800,"KC@GB 08:30PM ET",15.500,"GB"
"RB","DeAngelo Williams",4600,"Bal@Pit 08:25PM ET",24.200,"Pit"
"WR","Breshad Perriman",4500,"Bal@Pit 08:25PM ET",0,"Bal"
"TE","Heath Miller",3700,"Bal@Pit 08:25PM ET",13.950,"Pit"
"WR","Darrius Heyward-Bey",3600,"Bal@Pit 08:25PM ET",13.750,"Pit"
"WR","Markus Wheaton",3500,"Bal@Pit 08:25PM ET",9.600,"Pit"
"TE","Crockett Gillmore",3500,"Bal@Pit 08:25PM ET",15.050,"Bal"
"WR","Kamar Aiken",3300,"Bal@Pit 08:25PM ET",6.900,"Bal"
"WR","Chris Conley",3200,"KC@GB 08:30PM ET",0.000,"KC"
"WR","Jason Avant",3000,"KC@GB 08:30PM ET",0.000,"KC"
"RB","John Kuhn",3000,"KC@GB 08:30PM ET",0.000,"GB"
"RB","James Starks",3000,"KC@GB 08:30PM ET",6.900,"GB"
"RB","Anthony Sherman",3000,"KC@GB 08:30PM ET",0.500,"KC"
"RB","Will Johnson",3000,"Bal@Pit 08:25PM ET",3.350,"Pit"
"WR","Frankie Hammond Jr.",3000,"KC@GB 08:30PM ET",0,"KC"
"RB","Jordan Todman",3000,"Bal@Pit 08:25PM ET",0.550,"Pit"
"RB","Knile Davis",3000,"KC@GB 08:30PM ET",5.350,"KC"
"WR","Michael Campanaro",3000,"Bal@Pit 08:25PM ET",0.900,"Bal"
"RB","Kyle Juszczyk",3000,"Bal@Pit 08:25PM ET",3.900,"Bal"
"WR","Dri Archer",3000,"Bal@Pit 08:25PM ET",0.000,"Pit"
"WR","Marlon Brown",3000,"Bal@Pit 08:25PM ET",3.850,"Bal"
"RB","Roosevelt Nix",3000,"Bal@Pit 08:25PM ET",0.000,"Pit"
"WR","Albert Wilson",3000,"KC@GB 08:30PM ET",2.750,"KC"
"WR","Sammie Coates",3000,"Bal@Pit 08:25PM ET",0,"Pit"
"WR","Ty Montgomery",3000,"KC@GB 08:30PM ET",3.850,"GB"
"RB","Javorius Allen",3000,"Bal@Pit 08:25PM ET",3.050,"Bal"
"WR","Darren Waller",3000,"Bal@Pit 08:25PM ET",0.000,"Bal"
"RB","Alonzo Harris",3000,"KC@GB 08:30PM ET",0,"GB"
"RB","Aaron Ripkowski",3000,"KC@GB 08:30PM ET",0.000,"GB"
"WR","De'Anthony Thomas",3000,"KC@GB 08:30PM ET",2.550,"KC"
"RB","Lorenzo Taliaferro",3000,"Bal@Pit 08:25PM ET",13.600,"Bal"
"RB","Charcandrick West",3000,"KC@GB 08:30PM ET",0.000,"KC"
"WR","Jeff Janis",3000,"KC@GB 08:30PM ET",0.000,"GB"
"DST","Packers ",2900,"KC@GB 08:30PM ET",5.500,"GB"
"DST","Chiefs ",2900,"KC@GB 08:30PM ET",10.500,"KC"
